benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean,m4c_rank_score,m4c_rank_bucket,m4c_rank_reason,family_rank,family_normalized_approx_delta,m4d_rank_score,m4d_family_normalized_approx_delta,m4d_cross_family_rank,m4d_rank_reason
ibm01,m4d-default,original_neighborhood_m215_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.0384721755981445,-4.126922607421875,False,True,False,6282cc49,1,True,,,,toward_centroid,,,,,,,,,,,,0.03896103896103896,0.6673229576801483,11,family=original_neighborhood rank=4/78 percentile=0.038961
ibm01,m4d-default,original_line_search_m22_scale1p5x,original_line_search,True,False,True,False,True,scored,1.0384842157363892,-4.475246429443359,False,True,False,f6b364ad,3,True,,,,,,,,,,,,,,,,0.47368421052631576,0.6666666666070796,118,family=original_line_search rank=10/20 percentile=0.473684
ibm01,m4d-default,m3a_p0_0_166_below,m3a_pair_refinement,True,False,True,False,True,scored,1.0384849309921265,,False,True,False,ffc3ecb7,4,True,,,,below,,,,,,,,,,,,,,,family=m3a_pair_refinement approx_null=True excluded
ibm01,m4d-default,original_neighborhood_m22_left_s,original_neighborhood,True,False,True,False,True,scored,1.0384886264801025,-2.9834976196289062,False,True,False,ccfae19a,1,True,,,,left_s,,,,,,,,,,,,0.23376623376623376,0.6818975390920395,59,family=original_neighborhood rank=19/78 percentile=0.233766
ibm01,m4d-default,original_refinement_m117_tiny0p1um_m1_p0,original_refinement,True,False,True,False,True,scored,1.0384937524795532,-1.3000049591064453,False,True,False,dc2d8a35,2,True,,,,,,,,,,,,,,,,0.4228187919463087,0.749070649167574,106,family=original_refinement rank=64/150 percentile=0.422819
ibm01,m4d-default,original_refinement_m117_tiny0p05um_m1_p0,original_refinement,True,False,True,False,True,scored,1.038495659828186,-0.6499900817871094,False,True,False,0473ca8e,2,True,,,,,,,,,,,,,,,,0.5503355704697986,0.7572226143617057,137,family=original_refinement rank=83/150 percentile=0.550336
ibm01,m4d-default,original_refinement_m173_tiny0p05um_m1_p0,original_refinement,True,False,True,False,True,scored,1.0384957790374756,-0.5999908447265625,False,True,False,ddf4421e,2,True,,,,,,,,,,,,,,,,0.5838926174496645,0.7578496646869715,145,family=original_refinement rank=88/150 percentile=0.583893
ibm01,m4d-default,original_raw,original,True,False,True,False,True,scored,1.0384976863861084,,False,True,False,168bb848,1,True,,,,,,,,,,,,,,,,,,,family=original approx_null=True excluded
ibm01,m4d-default,m4b_r8_m1_m84_spread,m4b_region_repair,True,False,True,False,True,scored,1.0385042428970337,-8.031327247619629,False,True,False,88848f35,6,True,8,057217a0,"[1, 84]",spread,legalized,,3.280050277709961,-8.031327247619629,2.0615528128088303,2.0615528128088303,0.1690745409480623,ranked,ranked:family_rank=7,7,0.1690745409480623,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,original_neighborhood_m215_down_s,original_neighborhood,True,False,True,False,True,scored,1.0385217666625977,-2.764801025390625,False,True,False,852519b7,1,True,,,,down_s,,,,,,,,,,,,0.2857142857142857,0.6846851389357176,72,family=original_neighborhood rank=23/78 percentile=0.285714
