benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage
ibm01,m3c-default,original_neighborhood_m71_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407747268676758,-2.9952011108398438,False,True,False,5b4ad3bd,1
ibm01,m3c-default,original_refinement_m54_tiny0p25um_p0_m1,original_refinement,True,False,True,False,True,scored,1.1407747268676758,-3.25,False,True,False,a9d140ef,2
ibm01,m3c-default,original_neighborhood_m54_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407750844955444,-3.119997024536133,False,True,False,a93e556b,1
ibm01,m3c-default,original_neighborhood_m54_left_s,original_neighborhood,True,False,True,False,True,scored,1.140775442123413,-2.753997802734375,False,True,False,d24d9d81,1
ibm01,m3c-default,original_refinement_m54_scale2x,original_refinement,True,False,True,False,True,scored,1.1407784223556519,-8.177133560180664,False,True,False,3c23d89c,2
ibm01,m3c-default,original_neighborhood_m117_down_s,original_neighborhood,True,False,True,False,True,scored,1.140790581703186,-3.6400089263916016,False,True,False,0d539cc1,1
ibm01,m3c-default,original_neighborhood_m150_right_s,original_neighborhood,True,False,True,False,True,scored,1.1407926082611084,-3.030000686645508,False,True,False,d96f2020,1
ibm01,m3c-default,original_neighborhood_m173_left_s,original_neighborhood,True,False,True,False,True,scored,1.140792727470398,-3.0300064086914062,False,True,False,0b7693bf,1
ibm01,m3c-default,original_line_search_m22_scale2x,original_line_search,True,False,True,False,True,scored,1.1407935619354248,-5.9669952392578125,False,True,False,d5263724,3
ibm01,m3c-default,original_neighborhood_m117_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.14080011844635,-4.548145294189453,False,True,False,63f595fe,1
ibm01,m3c-default,original_neighborhood_m190_down_s,original_neighborhood,True,False,True,False,True,scored,1.1409589052200317,-2.764801025390625,False,True,False,659971ca,1
ibm01,m3c-default,original_neighborhood_m5_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1423289775848389,-2.914133071899414,False,True,False,76dcce46,1
ibm01,m3c-default,original_refinement_m243_scale2x,original_refinement,True,False,True,False,True,scored,1.1430327892303467,-22.455503940582275,False,True,False,de4f9e4c,2
